Sample,Elapsed (s),Write Speed (MB/s)
1096,563.452,93.83
1097,563.980,98.49
1098,564.489,110.05
1099,565.010,99.84
1100,565.512,87.61
1101,566.014,167.52
1102,566.519,150.46
1103,567.034,100.91
1104,567.559,106.76
1105,568.081,91.92
1106,568.606,99.02
1107,569.123,108.22
1108,569.626,95.59
1109,570.142,154.90
1110,570.658,131.80
1111,571.180,99.67
1112,571.701,99.81
1113,572.219,100.27
1114,572.727,110.32
1115,573.259,105.16
1116,573.763,95.24
1117,574.276,101.38
1118,574.787,101.91
1119,575.306,92.39
1120,575.816,141.27
1121,576.320,142.83
1122,576.834,155.75
1123,577.338,142.82
1124,577.843,158.36
1125,578.354,140.93
1126,578.890,119.40
1127,579.461,97.96
1128,580.006,102.80
1129,580.512,102.83
1130,581.077,77.83
1131,581.599,99.63
1132,582.099,95.95
1133,582.670,91.10
1134,583.185,93.17
1135,583.712,121.42
1136,584.220,157.66
1137,584.728,133.75
1138,585.257,98.26
1139,585.771,109.01
1140,586.287,100.86
1141,586.803,100.71
1142,587.320,100.57
1143,587.839,131.11
1144,588.356,146.81
1145,588.872,147.45
1146,589.382,148.88
1147,589.890,149.83
1148,590.395,142.58
1149,590.909,124.31
1150,591.419,94.10
1151,591.962,110.62
1152,592.501,103.80
1153,593.020,100.24
1154,593.541,107.58
1155,594.046,150.46
1156,594.548,159.18
1157,595.067,100.16
1158,595.588,92.28
1159,596.102,101.11
1160,596.662,92.82
1161,597.190,106.07
1162,597.692,119.52
1163,598.207,147.73
1164,598.709,135.24
1165,599.212,95.52
1166,599.723,93.97
1167,600.235,93.69
1168,600.797,99.58
1169,601.301,103.26
1170,601.819,131.21
1171,602.335,139.72
1172,602.841,157.83
1173,603.342,159.86
1174,603.862,161.60
1175,604.384,160.86
1176,604.900,162.76
1177,605.421,145.87
1178,605.962,155.23
1179,606.480,154.53
1180,606.992,101.51
1181,607.504,93.69
1182,608.047,95.81
1183,608.560,101.38
1184,609.075,93.18
1185,609.579,103.30
1186,610.084,102.83
1187,610.603,92.59
1188,611.124,107.40
1189,611.642,115.78
1190,612.154,148.44
1191,612.667,156.04
1192,613.171,150.77
1193,613.704,150.28
1194,614.205,151.59
1195,614.750,124.66
1196,615.262,93.83
1197,615.780,100.30
1198,616.311,98.01
1199,616.823,93.83
1200,617.335,101.46
1201,617.848,101.27
1202,618.375,83.60
1203,618.886,109.61
1204,619.389,103.24
1205,619.906,131.67
1206,620.436,135.88
1207,620.954,154.49
1208,621.467,163.73
1209,621.983,154.88
1210,622.498,155.39
1211,623.013,93.14
1212,623.534,99.83
1213,624.041,102.65
1214,624.554,93.54
1215,625.057,103.30
1216,625.563,102.89
1217,626.064,135.53
1218,626.571,142.08
1219,627.098,91.18
1220,627.639,96.05
1221,628.145,110.68
1222,628.664,115.47
1223,629.170,110.74
1224,629.696,121.83
1225,630.196,159.89
1226,630.725,128.59
1227,631.254,98.31
1228,631.775,99.67
