Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Drive Used Bytes,Notes
222,111.199,63.90,374240968704,39.81,2000263573504,470990987264,
223,111.702,95.30,374291300352,39.81,2000263573504,470990987264,
224,112.203,79.93,374333243392,39.82,2000263573504,470990987264,
225,112.703,79.91,374375186432,39.82,2000263573504,470990987264,
226,113.204,95.95,374425518080,39.83,2000263573504,470990987264,
227,113.704,79.93,374467461120,39.83,2000263573504,470990987264,
228,114.205,79.92,374509404160,39.84,2000263573504,470990987264,
229,114.706,95.84,374559735808,39.84,2000263573504,470990987264,
230,115.206,79.94,374601678848,39.85,2000263573504,470990987264,
231,115.709,79.44,374643621888,39.85,2000263573504,470990987264,
232,116.211,79.70,374685564928,39.85,2000263573504,470990987264,
233,116.712,3931.13,376749162496,40.07,2000263573504,470990987264,
234,117.212,4139.31,378921811968,40.31,2000263573504,470990987264,
235,117.713,4043.36,381044129792,40.53,2000263573504,470990987264,
236,118.213,4237.65,383267110912,40.77,2000263573504,470990987264,
237,118.714,4157.48,385448148992,41.00,2000263573504,470990987264,
238,119.214,4137.23,387620798464,41.23,2000263573504,470990987264,
239,119.716,4005.88,389726339072,41.45,2000263573504,470990987264,
240,120.218,4159.03,391915765760,41.69,2000263573504,470990987264,
241,120.718,4171.78,394105192448,41.92,2000263573504,470990987264,
242,121.219,4220.26,396319784960,42.16,2000263573504,470990987264,
243,121.719,3995.35,398416936960,42.38,2000263573504,470990987264,
244,122.221,4018.91,400530866176,42.60,2000263573504,470990987264,
245,122.721,4331.04,402804178944,42.85,2000263573504,470990987264,
246,123.222,4300.59,405060714496,43.09,2000263573504,470990987264,
247,123.723,2412.95,406327394304,43.22,2000263573504,470990987264,
248,124.223,239.72,406453223424,43.23,2000263573504,470990987264,
249,124.724,255.75,406587441152,43.25,2000263573504,470990987264,
250,125.224,239.82,406713270272,43.26,2000263573504,470990987264,
251,125.724,239.82,406839099392,43.28,2000263573504,470990987264,
252,126.227,254.61,406973317120,43.29,2000263573504,470990987264,
253,126.728,239.59,407099146240,43.30,2000263573504,470990987264,
254,127.229,255.27,407233363968,43.32,2000263573504,470990987264,
255,127.730,191.88,407334027264,43.33,2000263573504,470990987264,
256,128.230,175.86,407426301952,43.34,2000263573504,470990987264,
257,128.731,159.75,407510188032,43.35,2000263573504,470990987264,
258,129.232,159.63,407594074112,43.36,2000263573504,470990987264,
259,129.733,175.78,407686348800,43.37,2000263573504,470990987264,
260,130.234,159.70,407770234880,43.37,2000263573504,470990987264,
261,130.735,143.50,407845732352,43.38,2000263573504,470990987264,
262,131.242,173.76,407938007040,43.39,2000263573504,470990987264,
263,131.757,155.31,408021893120,43.40,2000263573504,470990987264,
264,132.258,159.80,408105779200,43.41,2000263573504,470990987264,
265,132.758,175.86,408198053888,43.42,2000263573504,470990987264,
266,133.258,159.87,408281939968,43.43,2000263573504,470990987264,
267,133.759,159.87,408365826048,43.44,2000263573504,470990987264,
268,134.260,191.68,408466489344,43.45,2000263573504,470990987264,
269,134.760,175.87,408558764032,43.46,2000263573504,470990987264,
270,135.261,191.79,408659427328,43.47,2000263573504,470990987264,
271,135.761,191.67,408760090624,43.48,2000263573504,470990987264,
